player,position,height,weight
Precious Achiuwa,TOR,6-8,225 lbs
Steven Adams,MEM,6-11,265 lbs
Bam Adebayo,MIA,6-9,255 lbs
Santi Aldama,MEM,6-11,215 lbs
LaMarcus Aldridge,BKN,6-11,250 lbs
Nickeil Alexander-Walker,NOP,6-6,205 lbs
Grayson Allen,MIL,6-4,198 lbs
Jarrett Allen,CLE,6-11,243 lbs
Jose Alvarado,NOP,6-0,179 lbs
Al-Farouq Aminu,SAS,6-8,220 lbs
Kyle Anderson,MEM,6-9,230 lbs
Giannis Antetokounmpo,MIL,6-11,242 lbs
Thanasis Antetokounmpo,MIL,6-6,219 lbs
Carmelo Anthony,LAL,6-7,238 lbs
Cole Anthony,ORL,6-2,185 lbs
OG Anunoby,TOR,6-7,232 lbs
Trevor Ariza,LAL,6-8,215 lbs
D.J. Augustin,HOU,5-11,183 lbs
Deni Avdija,WAS,6-9,210 lbs
Joel Ayayi,LAL,6-5,180 lbs
Deandre Ayton,PHX,6-11,250 lbs
Udoka Azubuike,UTA,6-10,280 lbs
Dwayne Bacon,NYK,6-6,221 lbs
Marvin Bagley III,SAC,6-11,235 lbs
LaMelo Ball,CHA,6-6,180 lbs
Lonzo Ball,CHI,6-6,190 lbs
Mitch Ballock,CLE,6-5,205 lbs
Mo Bamba,ORL,7-0,231 lbs
Desmond Bane,MEM,6-5,215 lbs
Dalano Banton,TOR,6-9,204 lbs
Harrison Barnes,SAC,6-8,225 lbs
Scottie Barnes,TOR,6-7,225 lbs
RJ Barrett,NYK,6-6,214 lbs
Will Barton,DEN,6-6,181 lbs
Charles Bassey,PHI,6-10,230 lbs
Keita Bates-Diop,SAS,6-8,229 lbs
Nicolas Batum,LAC,6-8,230 lbs
Kent Bazemore,LAL,6-4,195 lbs
Darius Bazley,OKC,6-8,208 lbs
Bradley Beal,WAS,6-3,207 lbs
Malik Beasley,MIN,6-4,187 lbs
Juhann Begarin,BOS,6-5,185 lbs
DeAndre' Bembry,BKN,6-5,210 lbs
Davis Bertans,WAS,6-10,225 lbs
Patrick Beverley,MIN,6-1,180 lbs
Saddiq Bey,DET,6-7,215 lbs
Tyler Bey,HOU,6-7,215 lbs
Khem Birch,TOR,6-9,233 lbs
Goga Bitadze,IND,6-11,250 lbs
Nemanja Bjelica,GSW,6-10,234 lbs
Eric Bledsoe,LAC,6-1,214 lbs
Keljin Blevins,POR,6-4,200 lbs
Bogdan Bogdanovic,ATL,6-6,220 lbs
Bojan Bogdanovic,UTA,6-7,226 lbs
Bol Bol,DEN,7-2,220 lbs
Isaac Bonga,TOR,6-8,180 lbs
Devin Booker,PHX,6-5,206 lbs
Brandon Boston Jr.,LAC,6-6,188 lbs
Chris Boucher,TOR,6-9,200 lbs
James Bouknight,CHA,6-4,190 lbs
Avery Bradley,HOU,6-3,180 lbs
Tony Bradley,CHI,6-10,248 lbs
Jarrell Brantley,UTA,6-5,250 lbs
Ignas Brazdeikis,ORL,6-6,221 lbs
Mikal Bridges,PHX,6-6,209 lbs
Miles Bridges,CHA,6-6,225 lbs
Oshae Brissett,IND,6-7,210 lbs
Malcolm Brogdon,IND,6-5,229 lbs
Armoni Brooks,HOU,6-3,195 lbs
Dillon Brooks,MEM,6-7,225 lbs
Bruce Brown,BKN,6-4,202 lbs
Chaundee Brown,LAL,6-5,215 lbs
Jaylen Brown,BOS,6-6,223 lbs
Moses Brown,DAL,7-2,245 lbs
Sterling Brown,DAL,6-5,219 lbs
Greg Brown III,POR,6-8,206 lbs
Charlie Brown Jr.,OKC,6-6,199 lbs
Troy Brown Jr.,CHI,6-6,215 lbs
Jalen Brunson,DAL,6-1,190 lbs
Elijah Bryant,MIL,6-5,210 lbs
Thomas Bryant,WAS,6-10,248 lbs
Reggie Bullock,DAL,6-6,205 lbs
Trey Burke,DAL,6-0,185 lbs
Alec Burks,NYK,6-6,214 lbs
Jared Butler,UTA,6-2,193 lbs
Jimmy Butler,MIA,6-7,230 lbs
Devontae Cacok,LAL,6-7,240 lbs
Kentavious Caldwell-Pope,WAS,6-5,204 lbs
Facundo Campazzo,DEN,5-10,195 lbs
Vlatko Cancar,DEN,6-8,236 lbs
Clint Capela,ATL,6-10,240 lbs
Vernon Carey Jr.,CHA,6-9,270 lbs
Jevon Carter,BKN,6-1,200 lbs
Wendell Carter Jr.,ORL,6-10,270 lbs
Michael Carter-Williams,ORL,6-5,190 lbs
D.J. Carton,CHA,6-2,200 lbs
Alex Caruso,CHI,6-4,186 lbs
Willie Cauley-Stein,DAL,7-0,240 lbs
Justin Champagnie,TOR,6-6,206 lbs
Chris Chiozza,GSW,5-11,175 lbs
