player,team,match,date,won,points,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,oreb,drew,reb,ast,stl,blk,tov
Devin Booker,PHX,PHX vs. UTA,04/07/2021,W,35,13,31,41.9,0,6,0.0,9,10,90.0,0,4,4,3,1,0,6
Royce O'Neale,UTA,UTA @ PHX,04/07/2021,L,2,1,3,33.3,0,2,0.0,0,0,0,0,4,4,1,0,1,0
Donovan Mitchell,UTA,UTA @ PHX,04/07/2021,L,41,16,35,45.7,4,12,33.3,5,7,71.4,0,8,8,3,0,0,1
Deandre Ayton,PHX,PHX vs. UTA,04/07/2021,W,18,9,16,56.3,0,1,0.0,0,0,0,7,5,12,1,2,3,2
Derrick Favors,UTA,UTA @ PHX,04/07/2021,L,4,2,4,50.0,0,0,0,0,0,0,2,6,8,2,1,2,2
Jevon Carter,PHX,PHX vs. UTA,04/07/2021,W,0,0,2,0.0,0,2,0.0,0,0,0,1,1,2,1,0,0,0
Mikal Bridges,PHX,PHX vs. UTA,04/07/2021,W,0,0,1,0.0,0,0,0,0,0,0,0,3,3,0,1,0,1
Torrey Craig,PHX,PHX vs. UTA,04/07/2021,W,7,2,3,66.7,2,3,66.7,1,2,50.0,0,5,5,1,0,1,0
Georges Niang,UTA,UTA @ PHX,04/07/2021,L,3,1,5,20.0,1,4,25.0,0,0,0,1,2,3,0,0,0,0
Cameron Payne,PHX,PHX vs. UTA,04/07/2021,W,5,2,6,33.3,1,1,100,0,0,0,1,2,3,0,1,0,0
Joe Ingles,UTA,UTA @ PHX,04/07/2021,L,5,2,4,50.0,1,2,50.0,0,1,0.0,0,1,1,2,0,0,2
Dario Saric,PHX,PHX vs. UTA,04/07/2021,W,6,2,3,66.7,0,0,0,2,4,50.0,4,4,8,1,0,0,0
Jordan Clarkson,UTA,UTA @ PHX,04/07/2021,L,11,4,12,33.3,3,9,33.3,0,0,0,0,1,1,0,1,1,2
Robert Williams III,BOS,BOS vs. NYK,04/07/2021,W,6,3,7,42.9,0,0,0,0,0,0,5,5,10,0,0,2,1
Obi Toppin,NYK,NYK @ BOS,04/07/2021,L,2,1,3,33.3,0,2,0.0,0,0,0,0,1,1,0,1,0,0
Payton Pritchard,BOS,BOS vs. NYK,04/07/2021,W,2,1,4,25.0,0,3,0.0,0,0,0,0,2,2,3,0,0,1
Immanuel Quickley,NYK,NYK @ BOS,04/07/2021,L,5,2,4,50.0,1,2,50.0,0,0,0,1,0,1,2,0,0,0
Grant Williams,BOS,BOS vs. NYK,04/07/2021,W,0,0,3,0.0,0,2,0.0,0,0,0,1,2,3,1,1,0,1
Romeo Langford,BOS,BOS vs. NYK,04/07/2021,W,6,2,5,40.0,2,3,66.7,0,0,0,4,2,6,0,0,0,1
RJ Barrett,NYK,NYK @ BOS,04/07/2021,L,29,10,14,71.4,6,6,100,3,4,75.0,1,4,5,2,0,0,3
Jaylen Brown,BOS,BOS vs. NYK,04/07/2021,W,32,12,26,46.2,5,13,38.5,3,7,42.9,2,8,10,3,2,1,2
Marcus Smart,BOS,BOS vs. NYK,04/07/2021,W,17,4,11,36.4,3,6,50.0,6,6,100,1,3,4,9,1,1,2
Elfrid Payton,NYK,NYK @ BOS,04/07/2021,L,8,3,8,37.5,2,2,100,0,0,0,1,1,2,4,0,0,3
Reggie Bullock,NYK,NYK @ BOS,04/07/2021,L,6,2,8,25.0,2,7,28.6,0,0,0,0,3,3,1,1,0,1
Nerlens Noel,NYK,NYK @ BOS,04/07/2021,L,7,2,4,50.0,0,0,0,3,4,75.0,1,5,6,0,0,2,1
Julius Randle,NYK,NYK @ BOS,04/07/2021,L,22,9,23,39.1,2,6,33.3,2,2,100,0,9,9,6,3,1,3
Tristan Thompson,BOS,BOS vs. NYK,04/07/2021,W,7,2,5,40.0,0,0,0,3,5,60.0,3,5,8,0,1,3,1
Taj Gibson,NYK,NYK @ BOS,04/07/2021,L,1,0,1,0.0,0,0,0,1,2,50.0,1,3,4,1,2,1,2
Derrick Rose,NYK,NYK @ BOS,04/07/2021,L,11,4,10,40.0,1,1,100,2,2,100,0,0,0,3,0,0,0
Alec Burks,NYK,NYK @ BOS,04/07/2021,L,8,2,9,22.2,2,7,28.6,2,2,100,0,8,8,3,0,0,1
