player,team,age,rar_fgm,rar_fga,rar_fgp,itp_fgm,itp_fga,itp_fgp,mrg_fgm,mrg_fga,mrg_fgp,lc3_fgm,lc3_fga,lc3_fgm,rc3_fgm,rc3_fga,rc3_fgp,cn3_fgm,cn3_fga,cn3_fgp,ab3_fgm,ab3_fga,abe_fgp
Aaron Gordon,DEN,25,2.1,3.2,67.3,0.8,1.8,45.6,0.5,1.5,32.4,0.1,0.4,38.9,0.1,0.3,29.4,0.2,0.7,34.3,0.9,2.8,34.1
Aaron Holiday,IND,24,0.9,2.0,44.7,0.4,1.2,31.7,0.3,0.6,45.0,0.2,0.3,50.0,0.2,0.3,58.8,0.3,0.6,54.1,0.7,2.2,32.6
Aaron Nesmith,BOS,21,0.6,0.9,64.1,0.2,0.5,38.1,0.1,0.2,50.0,0.2,0.7,28.6,0.2,0.5,50.0,0.4,1.0,36.4,0.5,1.4,37.5
Abdel Nader,PHX,27,1.3,2.0,62.5,0.4,0.9,40.9,0.0,0.1,0.0,0.3,0.6,54.5,0.1,0.3,40.0,0.4,0.8,50.0,0.4,1.1,37.0
Adam Mokoka,CHI,22,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.0,0.6,0.0,0.2,0.8,20.0,0.0,0.4,0.0
Al Horford,BOS,35,1.6,2.8,59.7,1.3,2.5,51.4,0.9,2.2,39.3,0.1,0.3,42.9,0.0,0.4,9.1,0.1,0.6,22.2,1.9,4.8,38.8
Al-Farouq Aminu,CHI,30,0.8,1.6,52.8,0.2,0.6,35.7,0.3,0.5,50.0,0.2,0.3,60.0,0.1,0.2,25.0,0.2,0.4,44.4,0.2,1.2,14.3
Alec Burks,NYK,29,1.0,2.0,50.0,0.5,1.5,33.8,0.7,1.7,41.5,0.4,1.0,37.5,0.4,0.6,64.3,0.7,1.6,47.4,1.3,3.5,38.8
Aleksej Pokusevski,OKC,19,0.8,1.4,54.0,0.5,1.6,34.3,0.5,1.5,33.3,0.2,0.7,31.0,0.1,0.4,31.3,0.3,1.0,31.1,1.0,3.6,27.5
Alen Smailagic,GSW,20,0.4,0.9,50.0,0.1,0.3,20.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.1,0.0,0.1,0.3,33.3,0.2,0.5,42.9
Alex Caruso,LAL,27,0.9,1.5,60.2,0.3,0.8,36.2,0.1,0.6,24.2,0.2,0.5,33.3,0.2,0.5,44.8,0.4,1.0,39.3,0.6,1.4,41.3
Alex Len,WAS,28,1.9,2.5,76.6,0.6,1.3,47.1,0.0,0.2,20.0,0.1,0.2,36.4,0.0,0.1,33.3,0.1,0.3,35.3,0.0,0.1,25.0
Alfonzo McKinnie,LAL,28,0.6,0.9,70.6,0.1,0.3,45.5,0.1,0.3,33.3,0.2,0.3,50.0,0.1,0.2,40.0,0.2,0.5,46.2,0.3,0.7,38.5
Alize Johnson,BKN,25,1.6,2.3,72.2,0.7,1.5,45.8,0.1,0.1,100,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,25.0
Amida Brimah,IND,27,1.0,1.2,83.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,LAC,24,0.4,0.7,57.7,0.2,0.5,31.3,0.1,0.2,40.0,0.2,0.5,44.4,0.3,0.6,50.0,0.4,0.9,47.8,0.3,0.9,36.4
Anderson Varejao,CLE,38,0.4,1.4,28.6,0.0,0.6,0.0,0.4,1.0,40.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Andre Drummond,LAL,27,4.6,8.3,55.1,1.5,3.7,42.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Andre Iguodala,MIA,37,0.4,0.6,65.0,0.1,0.2,42.9,0.0,0.2,25.0,0.3,0.7,43.9,0.3,0.8,33.3,0.6,1.5,38.0,0.4,1.3,29.4
Andre Roberson,BKN,29,0.2,1.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.2,0.8,25.0
Andrew Wiggins,GSW,26,2.8,4.1,67.8,1.3,2.8,46.4,1.1,2.9,37.3,0.4,1.0,43.5,0.2,0.4,42.9,0.6,1.4,43.3,1.4,3.8,36.4
Anfernee Simons,POR,22,0.3,0.7,51.2,0.2,0.7,24.4,0.3,0.6,45.9,0.3,0.4,62.5,0.2,0.4,52.0,0.4,0.8,57.1,1.4,3.6,39.5
Anthony Davis,LAL,28,3.6,4.8,75.6,2.3,4.4,51.6,1.8,5.1,34.8,0.1,0.2,62.5,0.1,0.2,62.5,0.3,0.4,62.5,0.4,2.3,19.3
Anthony Edwards,MIN,19,3.5,5.9,59.6,0.7,2.0,33.8,0.4,1.7,26.2,0.2,0.7,28.6,0.1,0.5,27.3,0.3,1.1,28.0,2.0,6.0,33.9
Anthony Gill,WAS,28,0.7,1.0,70.8,0.2,0.4,54.5,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.4,16.7,0.1,0.5,11.1,0.2,0.6,40.0
Anthony Lamb,HOU,23,0.9,1.7,51.3,0.1,0.3,37.5,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.5,33.3,0.3,0.7,41.2,0.7,2.2,30.2
Anthony Tolliver,PHI,36,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.4,66.7,0.2,0.4,50.0,0.2,0.9,20.0
Anzejs Pasecniks,WAS,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
Armoni Brooks,HOU,23,0.8,1.3,57.7,0.1,0.2,50.0,0.1,0.3,20.0,0.4,0.8,46.2,0.3,0.7,38.5,0.6,1.4,42.3,2.5,6.6,37.4
Aron Baynes,TOR,34,1.5,2.5,59.5,0.3,0.9,36.7,0.2,0.4,52.4,0.1,0.2,37.5,0.0,0.2,0.0,0.1,0.3,17.6,0.5,1.6,27.9
Ashton Hagans,MIN,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Rivers,DEN,28,1.0,1.5,64.8,0.3,0.9,29.0,0.1,0.3,45.5,0.2,0.5,47.1,0.1,0.5,17.6,0.3,1.0,32.4,1.2,3.2,38.6
Avery Bradley,HOU,30,0.9,1.3,70.6,0.1,0.4,20.0,0.2,1.0,19.2,0.4,1.1,37.9,0.1,0.4,33.3,0.6,1.5,36.6,0.7,2.2,30.0
Axel Toupane,MIL,28,0.4,0.9,50.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.1,0.1,100
Bam Adebayo,MIA,23,3.9,5.2,74.9,2.0,4.5,45.6,1.1,2.7,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,28.6
Ben McLemore,LAL,28,0.5,0.8,60.0,0.1,0.3,33.3,0.2,0.6,30.0,0.4,0.9,48.8,0.3,0.7,50.0,0.7,1.4,49.3,1.2,3.9,30.0
Ben Simmons,PHI,24,4.1,6.3,65.7,1.3,3.2,40.4,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.1,33.3,0.0,0.1,28.6
Bismack Biyombo,CHA,28,1.9,2.9,65.1,0.3,0.7,40.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Griffin,BKN,32,1.7,2.8,62.5,0.4,1.2,37.7,0.1,0.5,16.0,0.2,0.7,26.7,0.1,0.2,44.4,0.3,0.8,30.8,1.3,3.6,35.2
Boban Marjanovic,DAL,32,1.3,2.0,65.6,0.4,1.0,38.2,0.2,0.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,12.5
Bobby Portis,MIL,26,1.8,2.8,64.7,0.9,1.8,50.8,0.9,2.1,43.1,0.2,0.4,50.0,0.3,0.6,43.6,0.4,0.9,45.9,0.7,1.5,47.9
